"","nuc.power1","nuc.power2","CO2Price","ban.fuel.explore1","ban.fuel.explore2","RFS1","RFS2","id","p1.utility","p2.utility","p3.utility","p4.utility","group.score","group.sd","predicted.probability"
"39",1,0,90,0,1,0,1,81,21.4069811776103,-19.6478375682698,-0.306587203898084,-0.240683781959356,0.302968155870775,16.7738003031541,0.976839691580169
"40",1,0,0,0,1,0,1,121,21.4069811776103,-19.6478375682698,-0.306587203898084,-0.240683781959356,0.302968155870775,16.7738003031541,0.976839691580169
"41",1,0,30,0,1,0,1,137,21.4069811776103,-19.6478375682698,-0.306587203898084,-0.240683781959356,0.302968155870775,16.7738003031541,0.976839691580169
"42",1,0,60,0,1,0,1,154,21.4069811776103,-19.6478375682698,-0.306587203898084,-0.240683781959356,0.302968155870775,16.7738003031541,0.976839691580169
"43",1,0,120,0,1,0,1,158,21.4069811776103,-19.6478375682698,-0.306587203898084,-0.240683781959356,0.302968155870775,16.7738003031541,0.976839691580169
"44",0,1,0,0,1,0,1,22,21.4874634026744,-20.0426901755388,0.174632273635953,-1.32160390144698,0.0744503998311447,16.982103077545,0.972247992345198
"45",0,1,90,0,1,0,1,23,21.4874634026744,-20.0426901755388,0.174632273635953,-1.32160390144698,0.0744503998311447,16.982103077545,0.972247992345198
"46",0,1,60,0,1,0,1,62,21.4874634026744,-20.0426901755388,0.174632273635953,-1.32160390144698,0.0744503998311447,16.982103077545,0.972247992345198
"47",0,1,30,0,1,0,1,77,21.4874634026744,-20.0426901755388,0.174632273635953,-1.32160390144698,0.0744503998311447,16.982103077545,0.972247992345198
"48",0,1,120,0,1,0,1,104,21.4874634026744,-20.0426901755388,0.174632273635953,-1.32160390144698,0.0744503998311447,16.982103077545,0.972247992345198
"49",0,0,150,0,1,0,1,11,19.7276531198939,-21.2439125075897,-0.536826862381534,2.48356151276184,0.107618815671111,16.8017265965821,0.972143970381462
"50",0,0,60,0,1,0,1,40,20.9562238382322,-21.8961173498375,-1.85819887731467,-0.939697914820234,-0.934447575935037,17.5066314931041,0.934377405390387
"51",0,0,90,0,1,0,1,86,20.9562238382322,-21.8961173498375,-1.85819887731467,-0.939697914820234,-0.934447575935037,17.5066314931041,0.934377405390387
"52",0,0,0,0,1,0,1,125,20.9562238382322,-21.8961173498375,-1.85819887731467,-0.939697914820234,-0.934447575935037,17.5066314931041,0.934377405390387
