"","nuc.power1","nuc.power2","CO2Price","ban.fuel.explore1","ban.fuel.explore2","RFS1","RFS2","id","p1.utility","p2.utility","p3.utility","p4.utility","group.score","group.sd","var.total","mean.total","new.utility"
"36",0,0,60,0,1,1,0,35,-2.72284044825518,-23.2886172411548,-1.49216792851715,-0.90028253124749,-7.10097703729365,10.8184276019815,1.14260687719237,0.743496449152406,2.81842548852334
"37",0,1,120,1,0,1,0,154,-9.80215140219878,-24.3721902888599,-2.60630438866879,-2.12549351387508,-9.72653489840065,10.3758445810887,1.48313142479007,0.442325453665523,2.80631009393207
"38",0,1,150,1,0,1,0,142,-7.22848682285627,-23.0253524156857,-1.83975073424849,-2.84377437747247,-8.73434108756572,9.81044943165382,0.617080946176933,1.25343097891769,2.77827668232561
"39",0,0,0,0,1,1,0,74,-2.72284044825518,-23.2886172411548,-1.49216792851715,-0.90028253124749,-7.10097703729365,10.8184276019815,1.08089460600232,0.743496449152406,2.76161422054845
"40",0,1,150,1,0,0,0,116,-7.94925806780053,-6.85352365942212,-2.79972372236812,-1.53539458157455,-4.78447500779133,3.09798727244806,0.727726866254873,1.01207153860035,2.66799033647404
"41",0,0,150,0,0,0,0,100,-6.585039622555,-5.50427397384475,-2.89831535093609,-0.813795730140443,-3.95035616936907,2.60134700454345,0.731721859120175,0.94290559404589,2.6033634091168
"42",0,1,30,0,0,1,0,59,-10.3427259018276,-24.0945775928282,-4.38801556963089,-1.79093781692256,-10.1540642203023,9.95929560093594,0.307136151686227,1.50181689990559,2.5775890605164
"43",0,0,60,0,0,1,0,136,-8.43793295695324,-23.0229406032826,-2.70489601723676,-1.40389466244098,-8.89241605997839,9.90356225070155,1.26193255275106,0.373159509111063,2.55374392398442
"44",1,0,90,0,0,1,0,17,-4.66318828441122,-23.2467772717076,-2.47295868715609,-0.341621892273356,-7.68113653388706,10.5260118258381,1.14260687719237,0.47844073085018,2.55336977022111
"45",0,0,150,0,0,1,0,121,-5.86426837761074,-21.6761027301083,-1.93834236281646,-2.12217552603837,-7.90022224914347,9.36037440323503,0.490466728636334,1.18426503436323,2.54370366807908
"46",0,0,0,0,1,0,0,140,-3.44361169319944,-7.11678848489124,-2.45214091663678,0.408097264650438,-3.15111095751925,3.10744682004848,1.08514537813933,0.502137008835069,2.52421915436455
"47",1,0,150,0,1,0,0,4,2.9047975586851,-5.99378728014197,-1.45364993213582,0.752089171220662,-0.947637620593006,3.80569760680604,0.307136151686227,1.41852375582635,2.49429591643715
"48",1,0,150,0,0,0,0,105,-2.81029495001297,-5.72811064226976,-2.66637802085543,0.248477040027177,-2.73907664327775,2.44063915089711,0.489321477625885,1.04818681578501,2.40603736177853
"49",0,0,90,0,0,1,0,2,-8.43793295695324,-23.0229406032826,-2.70489601723676,-1.40389466244098,-8.89241605997839,9.90356225070155,1.08514537813933,0.373159509111063,2.39524165464054
"50",0,0,30,0,0,1,0,53,-8.43793295695324,-23.0229406032826,-2.70489601723676,-1.40389466244098,-8.89241605997839,9.90356225070155,1.08514537813933,0.373159509111063,2.39524165464054
"51",0,1,30,1,0,1,0,120,-9.80215140219878,-24.3721902888599,-2.60630438866879,-2.12549351387508,-9.72653489840065,10.3758445810887,0.991897245989859,0.442325453665523,2.37557614525994
"52",1,0,60,0,1,0,0,103,0.331132979342592,-7.34062515331625,-2.22020358655612,1.47037003481806,-1.93983143142793,3.91722413481503,0.820067758266278,0.607418230574187,2.36525967982745
